,Seven_Day_Total,Theaters,Distributor,runtime,release_date,budget,keywords_count,log_total_marketing_assets,director_weighted_rating,weekend_release,is_holiday,holiday_type,spoken_languages_iso,same_release_date_count,same_day_competitors,has_same_day_competitor,month_sin,month_cos,budget_log,cast_top5_popularity_sum_log,is_franchise,franchise_size,franchise_size_log,installment_number,is_sequel,keywords_count_log,kw_superhero,kw_animation,kw_horror,kw_romance,kw_family,kw_biopic,kw_fantasy_scifi,kw_action_adventure,kw_crime_thriller,kw_comedy_drama,genres_norm,num_genres,num_production_companies,has_major_studio,num_prodcos_log,mpaa_std,is_US,is_China,is_India,num_countries
1398,1521347.0,1764.0,a24,104.0,2025-03-13,10000000.0,5.0,3.7376696182833684,5.703,0,0,none,['en'],1,0,0,0.8660254,0.5,16.118095750958314,2.6451246007305413,0,0,0.0,0,0,1.791759469228055,0,0,0,0,0,0,0,0,0,0,horror|mystery|thriller,3,3,0,1.3862944,R,1,0,0,1
1399,8711122.0,3020.0,lionsgate,118.0,2024-02-22,13000000.0,21.0,3.1354942159291497,7.227412680756395,0,0,none,"['de', 'en']",2,1,1,0.5,0.8660254,16.380459992348886,2.8437051706736205,0,0,0.0,0,0,3.091042453358316,0,0,0,0,0,0,0,0,0,0,drama,1,3,0,1.3862944,PG,1,0,0,1
1400,117063.0,2.0,neon,141.0,2023-12-08,38000000.0,2.0,2.995732273553991,5.915773698014237,1,0,none,['en'],1,0,0,-0.5,0.8660254,17.453096744006448,2.5580641704057268,0,0,0.0,0,0,1.0986122886681096,0,0,0,0,0,0,0,0,0,0,drama,1,1,0,0.6931472,PG-13,1,0,0,1
1401,2408957.0,498.0,paramount pictures,99.0,2022-07-27,10000000.0,13.0,3.5553480614894135,6.122503304524657,0,0,none,"['en', 'et']",2,1,1,1.2246469e-16,-1.0,16.118095750958314,2.4292353649175356,1,3,1.3862944,1,0,2.639057329615259,0,0,0,0,0,0,0,0,0,0,horror|thriller,2,3,0,1.3862944,R,1,0,0,2
1402,24062970.0,2858.0,universal pictures,89.0,2014-10-24,5000000.0,4.0,2.70805020110221,5.146,1,0,none,['en'],2,1,1,-1.0,-1.8369701e-16,15.424948670398354,2.3772935990768804,1,2,1.0986123,1,0,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,horror,1,3,0,1.3862944,PG-13,1,0,0,1
1403,17568625.0,3167.0,universal pictures,99.0,2016-10-20,9000000.0,6.0,3.2188758248682006,6.665131615650004,0,0,none,['en'],3,2,1,-1.0,-1.8369701e-16,16.012735246411598,2.408826220799154,1,2,1.0986123,2,1,1.9459101490553132,0,0,0,0,0,0,0,0,0,0,horror,1,5,1,1.7917595,PG-13,1,0,0,1
1404,4500632.0,2202.0,warner bros.,107.0,2015-09-11,28000000.0,3.0,3.8918202981106265,6.162257264816943,1,0,none,['en'],4,3,1,-0.8660254,-0.5,17.147715103853763,2.8405569022430215,0,0,0.0,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,comedy|drama,2,2,0,1.0986123,R,1,0,0,1
1405,9868507.0,1605.0,fox searchlight pictures,103.0,2010-03-12,14000000.0,3.0,1.3862943611198906,6.970707624794295,1,0,none,['en'],1,0,0,0.8660254,0.5,16.454567959008102,2.5140446515313224,0,0,0.0,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,comedy,1,4,1,1.609438,PG-13,1,0,0,1
1406,10235344.0,2555.0,the weinstein company,90.0,2011-08-26,5000000.0,22.0,3.044522437723423,6.072578858111927,1,0,none,['en'],1,0,0,-0.5,-0.8660254,15.424948670398354,2.5862591440482876,0,0,0.0,0,0,3.1354942159291497,0,0,0,0,0,0,0,0,0,0,comedy|drama,2,3,0,1.3862944,R,1,0,0,1
1407,1513136.0,373.0,roadside attractions,108.0,2016-05-05,4000000.0,3.0,2.4849066497880004,6.282559284116331,0,0,none,"['en', 'fr', 'ru']",1,0,0,0.8660254,-0.5,15.201805169084134,2.739451964241742,0,0,0.0,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,thriller,1,5,0,1.7917595,R,0,0,0,2
1408,7179838.0,2011.0,walt disney studios motion pictures,89.0,2001-11-21,24000000.0,14.0,2.995732273553991,5.955140186915888,0,1,thanksgiving,['en'],2,1,1,-0.8660254,0.5,16.993564429978885,2.3074731270668214,0,0,0.0,0,0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,comedy,1,4,0,1.609438,Unrated,1,0,0,1
1409,1381288.0,897.0,bleecker street media,87.0,2024-02-09,1500000.0,0.0,3.912023005428146,5.732,1,0,none,[],3,2,1,0.5,0.8660254,14.220976332738882,1.530502924345958,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,adventure|horror|thriller,3,3,0,1.3862944,Unrated,1,0,0,2
1410,6336771.0,4.0,relativity media,116.0,2013-11-12,22000000.0,19.0,3.1354942159291497,6.665293293077421,0,0,none,['en'],1,0,0,-0.8660254,0.5,16.906553056777135,3.3226590973316728,0,0,0.0,0,0,2.995732273553991,0,0,0,0,0,0,0,0,0,0,crime|drama|thriller,3,5,0,1.7917595,R,1,0,0,2
1411,19493977.0,1623.0,pantelion films,112.0,2018-04-13,12000000.0,5.0,2.772588722239781,6.654,1,0,none,"['en', 'es', 'fr', 'no']",2,1,1,1.0,6.123234e-17,16.300417291085605,2.621823970350044,0,0,0.0,0,0,1.791759469228055,0,0,0,0,0,0,0,0,0,0,comedy|romance,2,3,0,1.3862944,PG-13,1,0,0,1
